epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2845.43,0.79071,1.12957,1.19841,0.81893,0.82244,0.85836,0.75096,0.51116,1.14079,0.98723,0.000456863,0.000456863,0.000456863
43,2911.77,0.83363,1.2161,1.24762,0.8766,0.89215,0.93489,0.81789,0.49289,0.97122,0.98687,0.00044925,0.00044925,0.00044925
44,2977.84,0.81285,1.20276,1.23355,0.85205,0.93141,0.93245,0.8125,0.49652,0.90954,0.97117,0.000441637,0.000441637,0.000441637
45,3044.47,0.78574,1.12994,1.2009,0.93562,0.85984,0.93928,0.82166,0.48249,0.93954,0.97422,0.000434024,0.000434024,0.000434024
46,3111.04,0.82488,1.21166,1.24289,0.87154,0.80236,0.91633,0.80953,0.49395,1.05743,0.98073,0.000426411,0.000426411,0.000426411
47,3177.49,0.77407,1.12224,1.19582,0.88953,0.81714,0.93618,0.81222,0.50247,1.02354,0.98174,0.000418797,0.000418797,0.000418797
48,3244.16,0.76926,1.13547,1.19653,0.80231,0.86987,0.92622,0.80958,0.51365,1.02926,0.97905,0.000411184,0.000411184,0.000411184
49,3310.45,0.74485,1.0927,1.18234,0.97871,0.81446,0.92907,0.82965,0.49693,0.90958,0.9844,0.000403571,0.000403571,0.000403571
50,3377.02,0.79128,1.17165,1.22035,0.89158,0.75818,0.91909,0.81164,0.47522,1.08773,0.97062,0.000395958,0.000395958,0.000395958
51,3444.05,0.76358,1.15807,1.19514,0.87877,0.76725,0.92604,0.81085,0.50128,1.02117,0.97552,0.000388345,0.000388345,0.000388345
52,3510.59,0.76571,1.0716,1.18518,0.90073,0.83675,0.93487,0.82105,0.50619,0.90847,0.97282,0.000380732,0.000380732,0.000380732
53,3576.71,0.74663,1.09088,1.18215,0.90097,0.84106,0.94073,0.81983,0.50476,0.94711,0.97315,0.000373119,0.000373119,0.000373119
54,3643.12,0.75795,1.11409,1.18235,0.89186,0.80985,0.92861,0.82539,0.47157,0.93595,0.95606,0.000365506,0.000365506,0.000365506
55,3709.33,0.75786,1.13012,1.19125,0.88157,0.81229,0.92705,0.81785,0.48034,0.9385,0.9631,0.000357893,0.000357893,0.000357893
56,3775.79,0.76305,1.14075,1.19282,0.85297,0.77313,0.90683,0.7928,0.51983,0.95042,0.99761,0.00035028,0.00035028,0.00035028
57,3842.18,0.72516,1.08937,1.17133,0.82194,0.87151,0.91719,0.80255,0.54047,0.9608,1.00992,0.000342666,0.000342666,0.000342666
58,3908.76,0.75178,1.12923,1.19616,0.83648,0.89427,0.92281,0.7947,0.53579,0.91695,1.02056,0.000335053,0.000335053,0.000335053
59,3975.07,0.7455,1.09186,1.16957,0.87598,0.96154,0.94405,0.81257,0.51834,0.82354,0.98343,0.00032744,0.00032744,0.00032744
60,4041.46,0.73254,1.10062,1.17454,0.87111,0.87675,0.93597,0.82384,0.50543,0.82506,0.9827,0.000319827,0.000319827,0.000319827
61,4107.5,0.73232,1.04451,1.17184,0.80901,0.82593,0.92165,0.8136,0.47822,0.93558,0.95621,0.000312214,0.000312214,0.000312214
62,4173.89,0.71388,1.04333,1.16471,0.83267,0.83979,0.91373,0.8067,0.46405,1.01335,0.94967,0.000304601,0.000304601,0.000304601
63,4240.58,0.7033,1.00512,1.1448,0.94293,0.80888,0.91988,0.8076,0.49067,0.78748,0.96242,0.000296988,0.000296988,0.000296988
64,4306.73,0.69922,1.05058,1.14795,0.92193,0.8201,0.90965,0.80895,0.47916,0.82584,0.95909,0.000289375,0.000289375,0.000289375
65,4372.86,0.68911,0.99191,1.14639,0.8404,0.88348,0.92472,0.8207,0.45198,0.82531,0.94575,0.000281762,0.000281762,0.000281762
66,4439.02,0.73861,1.08445,1.18164,0.83314,0.85652,0.90701,0.80243,0.4503,0.91973,0.95784,0.000274148,0.000274148,0.000274148
67,4505.38,0.7272,1.1139,1.17232,0.84734,0.77806,0.89869,0.79835,0.46475,0.94221,0.9586,0.000266535,0.000266535,0.000266535
68,4571.39,0.69228,1.04972,1.15584,0.9597,0.76516,0.9198,0.82638,0.45924,0.85351,0.94598,0.000258922,0.000258922,0.000258922
69,4639.18,0.67783,0.98857,1.13483,0.82274,0.85278,0.93034,0.8213,0.48355,0.86134,0.9584,0.000251309,0.000251309,0.000251309
70,4705.21,0.65961,0.98805,1.13046,0.86405,0.85408,0.94403,0.83604,0.48925,0.84805,0.96162,0.000243696,0.000243696,0.000243696
71,4771.64,0.65362,0.95552,1.11716,0.90383,0.87107,0.93846,0.83947,0.48775,0.74948,0.96102,0.000236083,0.000236083,0.000236083
72,4837.64,0.66945,1.03563,1.135,0.86678,0.89348,0.94555,0.83542,0.47986,0.77843,0.95832,0.00022847,0.00022847,0.00022847
73,4903.7,0.68414,0.98207,1.13527,0.80668,0.95617,0.91879,0.8045,0.51108,0.80427,0.9836,0.000220857,0.000220857,0.000220857
74,4969.61,0.68091,1.03154,1.14009,0.86831,0.89305,0.92405,0.81186,0.51361,0.78547,0.9775,0.000213244,0.000213244,0.000213244
75,5035.78,0.66574,1.01801,1.14511,0.86856,0.88287,0.91831,0.82408,0.51986,0.7424,0.99743,0.000205631,0.000205631,0.000205631
76,5101.8,0.67544,1.02672,1.15378,0.90311,0.92407,0.94056,0.84938,0.48033,0.70847,0.97596,0.000198018,0.000198018,0.000198018
77,5168.06,0.6489,0.97259,1.12241,0.88881,0.93724,0.94857,0.85248,0.46347,0.74413,0.9677,0.000190404,0.000190404,0.000190404
78,5234.95,0.68578,1.0232,1.13406,0.85455,0.85475,0.90828,0.82637,0.46938,0.82093,0.9751,0.000182791,0.000182791,0.000182791
79,5301.77,0.63057,0.94687,1.10077,0.89404,0.78076,0.88464,0.79934,0.45837,0.90567,0.96037,0.000175178,0.000175178,0.000175178
80,5368.31,0.67512,1.01117,1.14005,0.89493,0.78013,0.86698,0.76653,0.47199,0.86929,0.95504,0.000167565,0.000167565,0.000167565
81,5435.17,0.64437,0.92551,1.10349,0.88042,0.79739,0.87168,0.79302,0.45954,0.84398,0.95448,0.000159952,0.000159952,0.000159952
82,5501.57,0.65742,0.95663,1.11606,0.88167,0.81758,0.88666,0.79435,0.46369,0.81874,0.96616,0.000152339,0.000152339,0.000152339
83,5567.99,0.69494,1.05155,1.17002,0.83797,0.86897,0.89974,0.79845,0.48722,0.79827,0.98288,0.000144726,0.000144726,0.000144726
84,5635.12,0.63914,0.96457,1.11589,0.91605,0.79302,0.91431,0.81017,0.47247,0.78247,0.96688,0.000137113,0.000137113,0.000137113
85,5702.07,0.66259,1.00666,1.13488,0.89013,0.83055,0.92274,0.82332,0.4688,0.7885,0.9579,0.0001295,0.0001295,0.0001295
86,5768.93,0.64522,0.98325,1.12555,0.89454,0.80473,0.93173,0.82384,0.46971,0.75704,0.95844,0.000121887,0.000121887,0.000121887
87,5836.58,0.61497,0.91547,1.09786,0.83009,0.9164,0.94427,0.8188,0.4735,0.7667,0.96706,0.000114273,0.000114273,0.000114273
88,5904.74,0.61781,0.93263,1.10648,0.83658,0.92027,0.94918,0.82952,0.4761,0.76181,0.97234,0.00010666,0.00010666,0.00010666
89,5971.48,0.61596,0.93463,1.10208,0.86545,0.90958,0.94421,0.84888,0.47494,0.75079,0.96152,9.90472e-05,9.90472e-05,9.90472e-05
90,6038.14,0.63353,0.95325,1.11538,0.85189,0.87017,0.93233,0.8362,0.47677,0.74763,0.96156,9.14341e-05,9.14341e-05,9.14341e-05
91,6104.42,0.55356,0.83141,1.0799,0.88741,0.87192,0.93189,0.83485,0.46582,0.76703,0.95418,8.3821e-05,8.3821e-05,8.3821e-05
92,6171.49,0.50585,0.83319,1.01723,0.88422,0.86026,0.92644,0.83534,0.45503,0.78347,0.94982,7.62079e-05,7.62079e-05,7.62079e-05
93,6238.05,0.5182,0.82425,1.02079,0.9099,0.85922,0.92673,0.82782,0.4889,0.77694,0.97419,6.85948e-05,6.85948e-05,6.85948e-05
94,6304.03,0.51306,0.80051,1.04424,0.89579,0.89044,0.93084,0.83148,0.4777,0.74252,0.96655,6.09817e-05,6.09817e-05,6.09817e-05
95,6370.48,0.49944,0.78809,1.01752,0.89968,0.8939,0.93109,0.83248,0.45717,0.72377,0.955,5.33686e-05,5.33686e-05,5.33686e-05
96,6437.43,0.4747,0.76353,0.99316,0.90119,0.89218,0.93396,0.84319,0.45894,0.72884,0.96058,4.57555e-05,4.57555e-05,4.57555e-05
97,6503.21,0.51055,0.77185,1.03921,0.90275,0.88966,0.93155,0.84016,0.46966,0.73067,0.96604,3.81424e-05,3.81424e-05,3.81424e-05
98,6568.93,0.50048,0.77924,1.02945,0.90599,0.88407,0.9333,0.84138,0.47019,0.72416,0.96521,3.05293e-05,3.05293e-05,3.05293e-05
99,6634.91,0.47327,0.77526,1.00905,0.90346,0.88646,0.93976,0.836,0.46588,0.72518,0.96392,2.29162e-05,2.29162e-05,2.29162e-05
100,6702.16,0.48803,0.77849,1.01655,0.90247,0.8878,0.93999,0.8341,0.46274,0.72387,0.96238,1.53031e-05,1.53031e-05,1.53031e-05
