epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.67748,0.32508,4.09496,0.97043,0,0,0,0,0,6.16964,0,0,0,0
2,1.33775,0,30.2151,0,0,0,0,0,0,6.17358,0,1.901e-05,1.901e-05,1.901e-05
3,1.99895,0.45972,4.5483,0.76844,0,0,0,0,0,6.17879,0,3.604e-05,3.604e-05,3.604e-05
4,2.6874,0.40436,7.05281,0.69454,0,0,0,0,0,6.18357,0,5.109e-05,5.109e-05,5.109e-05
5,3.39144,0.43294,4.85914,0.88764,0,0,0,0,0,6.18744,0,6.416e-05,6.416e-05,6.416e-05
6,4.08161,0,29.7024,0,0,0,0,0,0,6.1898,0,7.525e-05,7.525e-05,7.525e-05
7,4.7468,0.49154,4.85981,0.90891,0,0,0,0,0,6.19087,0,8.436e-05,8.436e-05,8.436e-05
8,5.3792,0.3519,6.83972,0.87829,0,0,0,0,0,6.19017,0,9.149e-05,9.149e-05,9.149e-05
9,6.01909,0.37048,3.77206,0.76517,0,0,0,0,0,6.19017,0,9.664e-05,9.664e-05,9.664e-05
10,6.72246,0,29.698,0,0,0,0,0,0,6.18653,0,9.981e-05,9.981e-05,9.981e-05
11,7.35814,0.52247,6.64198,0.7638,0,0,0,0,0,6.18653,0,0.000101,0.000101,0.000101
12,8.0314,0.44813,9.68098,0.69779,0,0,0,0,0,6.18015,0,0.00010021,0.00010021,0.00010021
13,8.68876,0.43618,5.97409,0.7865,0,0,0,0,0,6.18015,0,9.744e-05,9.744e-05,9.744e-05
14,9.33295,0.19581,6.4628,0.67977,0,0,0,0,0,6.17189,0,9.269e-05,9.269e-05,9.269e-05
15,9.9284,0.22841,6.20199,0.86039,0,0,0,0,0,6.17189,0,8.596e-05,8.596e-05,8.596e-05
16,10.5742,0.31188,6.86556,0.91398,0,0,0,0,0,6.16398,0,7.725e-05,7.725e-05,7.725e-05
17,11.2721,0.30929,5.93915,0.91541,0,0,0,0,0,6.16398,0,6.656e-05,6.656e-05,6.656e-05
18,11.9452,0.20464,5.92028,0.62934,0,0,0,0,0,6.15706,0,5.389e-05,5.389e-05,5.389e-05
19,12.5838,0.4539,8.40647,0.6177,0,0,0,0,0,6.15706,0,3.924e-05,3.924e-05,3.924e-05
20,13.2771,0.46824,6.72369,0.91823,0,0,0,0,0,6.15288,0,2.261e-05,2.261e-05,2.261e-05
