epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,61.2711,0.83043,1.88304,1.16895,0.00634,1,0.995,0.995,0.39716,3.49476,0.92767,0.00050547,0.00050547,0.00050547
45,62.7061,0.54794,1.35484,0.96298,0.00634,1,0.995,0.995,0.39716,3.49476,0.92767,0.00048772,0.00048772,0.00048772
46,64.093,1.56948,3.27639,1.75809,0.41183,1,0.995,0.995,0.45545,3.1344,0.93396,0.00046865,0.00046865,0.00046865
47,65.4582,1.08249,1.53296,1.07441,0.41183,1,0.995,0.995,0.45545,3.1344,0.93396,0.00044826,0.00044826,0.00044826
48,66.7802,0.40463,3.96377,0.50412,0.41183,1,0.995,0.995,0.45545,3.1344,0.93396,0.00042655,0.00042655,0.00042655
49,68.1464,0.66212,1.46125,0.84542,0.41183,1,0.995,0.995,0.45545,3.1344,0.93396,0.00040352,0.00040352,0.00040352
50,69.5371,1.30637,2.03309,1.52728,0.43621,1,0.4975,0.4975,0.43322,2.76946,0.93148,0.00037917,0.00037917,0.00037917
51,70.9585,0.93927,2.57834,0.9709,0.43621,1,0.4975,0.4975,0.43322,2.76946,0.93148,0.00035,0.00035,0.00035
52,72.326,0.33087,6.93534,0.53994,0.43621,1,0.4975,0.4975,0.43322,2.76946,0.93148,0.000317,0.000317,0.000317
53,73.6807,0.30756,4.00819,0.52293,0.43621,1,0.4975,0.4975,0.43322,2.76946,0.93148,0.000284,0.000284,0.000284
54,75.0664,0.26759,4.20422,0.46693,0.45859,1,0.4975,0.44775,0.38418,2.47502,0.92628,0.000251,0.000251,0.000251
55,76.4468,0.35122,4.04681,0.57931,0.45859,1,0.4975,0.44775,0.38418,2.47502,0.92628,0.000218,0.000218,0.000218
56,77.7821,0.8783,2.49346,1.41843,0.45859,1,0.4975,0.44775,0.38418,2.47502,0.92628,0.000185,0.000185,0.000185
57,79.1308,1.36648,3.16377,1.27116,0.45859,1,0.4975,0.44775,0.38418,2.47502,0.92628,0.000152,0.000152,0.000152
58,80.4699,0.52807,1.91282,1.06732,0.46954,1,0.4975,0.44775,0.34305,2.33359,0.92279,0.000119,0.000119,0.000119
59,81.755,0.39684,1.63938,0.77607,0.46954,1,0.4975,0.44775,0.34305,2.33359,0.92279,8.6e-05,8.6e-05,8.6e-05
60,83.0979,0.57806,1.94788,0.97223,0.46954,1,0.4975,0.44775,0.34305,2.33359,0.92279,5.3e-05,5.3e-05,5.3e-05
